tag	chinese_name
AAC	亚琛
AAD	阿伊兹
AAI	阿拉斯塔尼
AAL	阿里
ABA	阿尔巴
ABV	安博文塔尼
ABW	阿卜瓦卜
ACA	阿卡提克
ACH	亚该亚
ACO	阿库
ADG	安定
ADH	阿踰陀
ADO	阿多
AFA	丹卡利
AGC	奥格斯堡
AGH	安戈谢
AGN	阿宁
AHI	阿赫
AHO	阿洪姆
AHU	阿瓦卡特兰
AHY	安楚希希
AJC	阿霍奇特兰
AJU	阿朱兰
AKR	阿库雷
ALB	阿尔巴尼亚
ALE	阿朗松
ALI	凯里
ALL	阿尔施泰特
ALN	阿兰尼亚
ALO	阿洛迪亚
ALS	斯特拉斯
ALU	阿楼波
ALY	阿拉耶
AMA	阿尔马
AMD	安多
AME	阿梅坎
AMG	阿马尼亚克
AMH	阿德迈尔
AML	阿莫兰
AMP	阿马皮拉
AMR	米拉
AMT	阿玛科兹蒂特兰
ANB	阿恩斯贝格
ANC	安科纳
ANG	昂古莱姆
ANH	安哈尔特
ANI	阿鲁尼
ANJ	安茹
ANN	安纳利
ANR	安道尔
ANS	安斯巴赫
ANT	阿里亚尼蒂
ANZ	阿尼扎
AOS	奥斯塔
APD	阿帕儿迪
APR	普吕姆
AQN	阿基坦
AQU	阿奎莱亚
ARA	阿拉贡
ARB	阿尔博雷阿
ARD	阿达兰
ARG	阿尔戈斯
ARK	隆邑
ARM	亚美尼亚
ARR	里加‑利沃尼亚
ARS	阿图瓦
ART	阿鲁剌惕
ARU	哑鲁
ASC	阿斯科利
ASD	亚历山德里亚
ASR	阿斯塔拉巴德
AST	阿斯塔拉克
ATH	雅典
ATI	阿斯蒂
ATJ	亚齐
ATL	奥特兰
ATO	阿托克潘
ATP	阿特佩克
ATQ	阿尔图格
ATT	阿蒂特兰
ATZ	阿尔塔兹
AUD	阿伦德尔
AUG	温得利基‑奥古斯塔
AUM	欧马勒
AUV	奥弗涅
AUX	欧塞尔
AVR	阿瓦尔
AWO	阿沃里
AXC	阿索奇亚潘
AXO	阿霍科潘
AYA	阿亚尔马卡
AYD	艾登
AYO	阿约特兰
AZF	扎菲尔
AZL	阿兹塔特兰
BAC	巴占
BAD	包特
BAI	邦盖
BAM	班贝格
BAR	巴尔
BAS	巴塞尔
BBG	布兰肯堡
BBK	邦布
BCH	库尔
BDE	巴登
BDS	巴杜斯潘
BEA	比尔
BEI	文莱
BEN	贝宁
BES	木威
BFN	西布雷夫讷
BFR	巴夫拉
BGG	望家
BGK	巴格尔坎德
BGL	巴格拉纳
BGN	布洛涅
BGR	班杜加拉
BHA	巴特尼尔
BHD	般跋
BHL	拜希林根
BHM	八莫
BHP	马拉布姆
BHT	博赫丹
BIA	巴亚
BIB	比伯拉赫
BID	多尔帕特
BIM	比马
BIN	恰帕克丘尔
BIO	厄塞尔
BIR	毕日
BIT	比特利斯
BJG	保靖
BKZ	巴努‑坎兹
BLA	布莱达
BLB	莱布斯
BLD	伯尔拉德
BLE	巴莱
BLG	博洛尼亚
BLI	巴厘
BLL	布永
BLM	贝尔蒙
BLN	博朗
BLO	别洛奥泽罗
BLS	布卢瓦
BMB	奔巴欧
BMK	贝马内维卡
BMP	班布尔
BMR	班巴拉
BMS	迈森尼亚
BNA	钵奈
BNB	贝恩堡
BND	本德尔肯德
BNE	波尼
BNI	白泥
BNL	拉姆
BNT	本特海姆
BOD	博多尼察
BOH	波希米亚
BOL	答必丹
BON	博诺曼
BOR	博尔古
BOS	波斯尼亚
BOU	波旁
BOW	博翁特胡
BPR	卑谬
BQA	拜尔盖
BQL	巴格林
BRA	勃兰登堡
BRB	布拉班特
BRC	贝希特斯加登
BRE	不来梅
BRG	贝格
BRI	布列塔尼
BRL	巴鲁剌思
BRM	不来梅
BRN	伯尔尼
BRO	布雷克诺克
BRR	贝阿恩
BRU	不伦瑞克
BRY	布良斯克
BRZ	布热格
BSC	贝桑松
BSD	别速惕
BSK	贝斯科
BSM	布苏马
BSP	比拉斯布尔
BST	巴斯塔尔
BTE	班塔恩
BTG	巴塘
BTL	泰利斯
BTN	布敦
BTU	武端
BUD	比丁根
BUG	布干达
BUL	保加利亚
BUR	勃艮第
BUS	巴鲁斯
BWL	贝尼瓦尔
BXN	布里克森
BYM	比托姆
BYZ	拜占庭
BZH	北胜
BZN	巴津
BZU	播州
CAB	昌巴
CAM	康布雷
CAS	卡斯蒂利亚
CAU	夸乌特兰
CAV	卡尔瓦
CBH	比姆贝尔
CBK	头蛇
CCL	科科兰
CCN	奎卡特兰
CCP	夸乌奎茨帕尔特佩克
CDC	卡斯泰洛城
CDD	琼丹迪
CDL	大理
CEB	宿务
CEM	切米什格泽克
CEP	凯法洛尼亚
CER	哲卢
CES	切塞纳
CET	切斯特
CEV	切瓦
CFC	科尔马
CGZ	昌州
CHA	占婆
CHD	昌达
CHG	察合台
CHH	景洪
CHI	中华
CHJ	丘拉洪
CHK	卡霍基亚
CHL	海乌姆诺
CHM	奇穆
CHN	希尼
CHR	切尔尼戈夫
CHT	乔尔蒂
CHX	基耶里
CHZ	中山
CIC	钦查
CIH	锡瓦特兰
CIL	奇里乞亚
CIN	至那
CJK	克伊克
CKL	明正
CKP	查坎普图姆
CLA	克兰德博耶
CLC	查尔科
CLE	车勒
