country_tag	good	amount
AAC	tin	4.16
AAC	beer	4.06942
AAC	weaponry	2.01624
AAC	glass	2.01624
AAC	cloth	2.01624
AAC	paper	2.01624
AAC	leather	2.01624
AAC	pottery	2.01624
AAC	tools	1.21794
AAC	masonry	1.00811
AAD	fruit	9.68784
AAD	livestock	4.84392
AAD	horses	2.42196
AAI	livestock	12.4
AAI	iron	2.48
AAI	copper	2.48
AAI	fiber_crops	2.48
AAI	legumes	2.48
AAI	fruit	2.48
AAL	fruit	7.38993
AAL	horses	4.92662
AAL	wool	4.92662
AAL	sand	2.46331
AAL	livestock	2.46331
AAL	beeswax	2.46331
ABA	beeswax	2.24
ABV	livestock	2.32
ABW	livestock	10.08
ABW	fruit	7.56
ABW	millet	5.04
ACA	beeswax	2.42108
ACH	fish	6.9
ACH	stone	4.6
ACH	wine	4.6
ACH	olives	4.6
ACH	lumber	2.3
ACH	wool	2.3
ACH	livestock	2.3
ACH	fruit	2.3
ACH	beeswax	2.3
ACH	paper	1.20806
ACH	cloth	1.19418
ACH	tools	1.19418
ACH	glass	0.60233
ACH	weaponry	0.25018
ACH	masonry	0.15799
ACH	pottery	0.11237
ACO	maize	2.07111
ADH	rice	7.5
ADH	paper	3.05297
ADH	pottery	3.05297
ADH	fine_cloth	2.44235
ADH	masonry	1.52648
ADH	naval_supplies	1.51193
ADH	weaponry	1.51193
ADH	beer	1.51193
ADH	furniture	1.51193
ADH	tools	0.90715
AFA	salt	7.62297
AFA	fish	5.08198
AFA	incense	2.54099
AFA	livestock	2.54099
AFA	beeswax	2.54099
AGC	beer	5.53685
AGC	pottery	3.65805
AGC	fiber_crops	2.08
AGC	jewelry	1.99365
AGC	paper	1.93688
AGC	masonry	1.82902
AGC	glass	1.81242
AGC	cloth	1.81242
AGC	liquor	1.81242
AGC	furniture	1.81242
AGC	weaponry	1.4632
AGC	tools	0.9145
AGC	books	0.54372
AGC	dyes	0.36247
AGH	fish	2.54093
AGN	cotton	2.42434
AHI	slaves_goods	4.99325
AHI	pottery	2.70466
AHI	cloth	2.49662
AHI	clay	2.36246
AHI	iron	2.36246
AHI	alum	2.36246
AHI	wine	2.36246
AHI	saffron	2.36246
AHI	livestock	2.36246
AHI	tools	1.49797
AHI	masonry	1.37001
AHI	jewelry	1.35974
AHI	weaponry	1.23613
AHI	paper	1.23613
AHI	furniture	1.23613
AHI	glass	0.92709
AHI	books	0.37083
AHO	elephants	10.17192
AHO	tea	5.08596
AHO	livestock	5.08596
AHO	fruit	5.08596
AHO	lumber	2.54298
AHO	salt	2.54298
AHO	ivory	2.22785
AHT	tools	0.57548
AHU	maize	2.821
AHY	fruit	2.34145
AIS	iron	0.50836
AJC	stone	2.42098
AJU	millet	17.79932
AJU	livestock	17.79932
AJU	cotton	12.7138
AJU	lumber	7.62828
AJU	sugar	7.62828
AJU	horses	5.08552
AJU	sand	5.08552
AJU	fish	5.08552
AJU	fruit	5.08552
AJU	wild_game	2.94276
AJU	clay	2.54276
AJU	iron	2.54276
AJU	stone	2.54276
AJU	salt	2.54276
AKI	iron	0.48226
AKJ	iron	0.22501
AKM	iron	2.78928
AKM	tools	0.9843
AKT	lumber	2.3488
AKT	tools	1.01
ALB	salt	2.3
ALB	cloth	1.20545
ALB	liquor	1.20545
ALB	paper	1.20545
ALB	tools	1.20545
ALB	glass	0.60412
ALB	leather	0.60412
ALB	pottery	0.60412
ALB	masonry	0.30206
ALB	weaponry	0.24053
ALE	wool	9.2
ALE	livestock	2.3
ALL	horses	4.44
ALO	livestock	63
ALO	millet	27.72
ALO	ivory	17.64
ALO	cotton	15.12
ALO	wheat	13.92
ALO	fiber_crops	7.56
ALO	stone	5.04
ALO	slaves_goods	2.223
ALO	leather	1.1115
ALO	pottery	1.1115
ALO	tools	1.02454
ALO	fine_cloth	0.55574
ALO	masonry	0.55574
ALO	weaponry	0.4856
ALS	wine	6.6
ALS	livestock	6.6
ALS	lumber	2.2
ALU	elephants	10.08
ALU	pepper	10.08
ALU	rice	7.56
ALU	fruit	7.56
ALU	fish	5.04
ALY	marble	2.48607
ALY	fish	2.48607
ALY	slaves_goods	1.99024
ALY	leather	0.99873
ALY	pottery	0.49444
ALY	weaponry	0.39803
ALY	masonry	0.24722
AMA	fruit	1.71838
AMA	millet	1.24468
AMD	livestock	10.34234
AMD	horses	4.8429
AMD	wild_game	3.0303
AMD	stone	2.42145
AMD	salt	2.42145
AMD	wool	1.12746
AME	maize	2.82109
AMG	wheat	16.1
AMG	legumes	6.9
AMG	wine	4.6
AMG	wool	4.6
AMG	paper	2.75225
AMG	leather	1.36271
AMG	pottery	0.68192
