location_name	total_population	total_urban_pop
a_keis	0.112000	0.000000
a_taw_bun_kut_en	0.212000	0.000000
aa_kw	0.280000	0.000000
aabenraa	11.490000	0.008000
aaboukingon	7.259000	0.015000
aachen	29.277000	2.151000
aahkawiraahkata	0.420000	0.000000
aahkawirahkata	0.140000	0.000000
aakhoe	6.984000	0.000000
aaku	1.708000	0.043000
aalborg	26.654000	1.887000
aalst	31.244000	0.004000
aankwaahsakwa	1.430000	0.000000
aarau	23.409000	0.058000
aarhus	34.591000	0.016000
aashbikkaashee	0.841000	0.000000
aashbiliihkupe	0.982000	0.000000
aashise	0.841000	0.000000
aays	1.240000	0.015000
aba_al_qur	1.935000	0.010000
abacoa	3.945000	0.000000
abadan	20.262000	0.008000
abadeh	1.571000	0.007000
abadeh_tashk	2.820000	0.007000
abaga	0.157000	0.000000
abagaita	25.226000	0.004000
abaiang_atoll	2.605000	0.000000
abakasnk	1.473000	0.010000
abala	4.478000	0.008000
abalak	15.458000	0.000000
abalessa	4.115000	0.000000
aban	0.519000	0.000000
abare_i	3.858000	0.000000
abarkuh	1.750000	0.007000
abashiri	0.199000	0.000000
abau	4.826000	0.000000
abbeville	39.524000	0.009000
abdanan	7.558000	0.020000
abdas	11.787000	0.006000
abdulino	5.876000	0.070000
abe	26.755000	0.005000
abemama_atoll	1.157000	0.000000
abengourou	37.412000	0.000000
aberdeen	14.267000	0.875000
aberfeldy	5.827000	0.008000
aberystwyth	11.970000	0.008000
abesehir	22.173000	0.228000
abha	10.657000	0.000000
abhar	6.672000	0.004000
abihka	4.990000	0.044000
abil	4.454000	0.000000
abimatinu	0.106000	0.000000
abingdon	15.282000	0.000000
abisko	0.097000	0.000000
abitau	0.106000	0.000000
abiward	5.301000	0.004000
abiy_addi	9.980000	0.008000
abiz	1.689000	0.008000
abo	10.089000	1.171000
abomey	26.918000	0.000000
abong	5.476000	0.000000
aborlan	1.323000	0.000000
abrahamtelke	19.529000	0.008000
abu	22.856000	0.005000
abu_dhabi	0.491000	0.004000
abu_hamed	46.076000	0.003000
abu_kemal	9.002000	0.006000
abu_qasr	14.679000	0.010000
abu_rakah	9.378000	0.000000
abun	0.766000	0.000000
aburra	3.950000	0.000000
abuta	0.222000	0.000000
abutua	19.238000	0.000000
abyy	0.157000	0.000000
acambaro	95.397000	0.000000
acanti	15.865000	0.000000
acaponeta	5.995000	0.000000
acarau	2.032000	0.000000
acari	41.922000	0.000000
acasaguastlan	18.607000	0.000000
acatic	9.868000	0.046000
acayucan	28.003000	0.018000
accomac	3.815000	0.000000
accra	20.097000	0.016000
acerenza	11.538000	0.008000
achacachi	5.440000	0.068000
achachiwa	11.170000	0.000000
achaivayam	0.157000	0.000000
achaka	0.157000	0.000000
acham	17.668000	0.028000
achan	1.843000	0.004000
achava	0.157000	0.000000
achen	8.374000	0.000000
achikamii	0.106000	0.000000
achim	7.995000	0.032000
achit_nuur	28.829000	0.004000
acholi	73.381000	0.000000
achomawi	0.701000	0.000000
aco	1.928000	0.000000
aconca_hue	9.125000	0.000000
aconchi	1.679000	0.017000
aconquija	1.221000	0.000000
acoroazes	18.535000	0.000000
acqui	54.327000	0.009000
acre	39.910000	2.206000
acroas	7.259000	0.000000
acteon	0.005000	0.000000
acuera	0.561000	0.000000
ad_dawasir	4.364000	0.014000
ad_dilam	17.481000	0.010000
ad_disah	1.627000	0.015000
ad_dughmiyah	17.377000	0.000000
adachi	23.456000	0.005000
adachi_kanto	27.918000	0.005000
adakli	5.924000	0.000000
adalaga	4.342000	0.000000
adan	51.232000	0.162000
adana	49.128000	0.018000
adanki	69.395000	0.031000
adare	6.141000	0.006000
addu_atoll	2.797000	0.000000
adena	1.621000	0.000000
adeqiu	9.297000	0.004000
aderbissinat	10.280000	0.000000
adham	13.970000	0.000000
adigrat	11.112000	0.008000
adilabad	76.164000	0.000000
adirondacks	0.420000	0.000000
adixoodagoorahareesh	0.561000	0.000000
adjud	4.337000	0.009000
adlur	57.375000	0.000000
ado_ekiti	22.596000	0.000000
adoni	82.568000	0.007000
adony	14.680000	0.008000
adra	6.529000	0.008000
adrada	18.783000	0.008000
adranos	33.221000	0.005000
adrar	15.914000	0.000000
adraskan	6.487000	0.010000
adshusheer	0.701000	0.000000
aduma	6.860000	0.000000
adwa	8.992000	0.008000
adyukh	3.875000	0.009000
adyumba	14.189000	0.000000
adzera	69.516000	0.000000
aekyom	10.119000	0.000000
aerzhai	19.725000	0.004000
afade	7.473000	0.000000
afanasyevo	5.480000	0.011000
afif	8.729000	0.031000
afikpo	37.057000	0.000000
afmadow	18.201000	0.007000
afrera	4.509000	0.008000
afrin	24.579000	0.009000
afsin	23.110000	0.000000
afso	12.500000	0.000000
aga	6.489000	0.005000
agadem	12.433000	0.017000
agadez	20.075000	0.000000
agadir	13.040000	0.008000
agaes	1.996000	0.000000
agai_ticutta	0.701000	0.000000
agaidika	0.701000	0.000000
agar	45.073000	0.000000
agaro	9.540000	0.008000
agartala	44.842000	0.005000
agatsuma	28.554000	0.005000
agawa	21.403000	0.005000
agawa_superior	0.212000	0.000000
agawam	2.656000	0.000000
agayakan	0.157000	0.000000
agbonle	14.449000	0.016000
agde	14.080000	0.009000
agdez	12.882000	0.022000
agen	46.065000	2.099000
agh_qala	4.875000	0.008000
agham_kot	72.172000	0.017000
aghkand	13.677000	0.006000
aghmat	13.194000	0.010000
agikuyu	55.299000	0.000000
agnam_civol	7.158000	0.016000
agno	1.132000	0.000000
agob	4.893000	0.000000
agoo	8.040000	0.000000
agordat	11.852000	0.028000
agori	69.685000	0.000000
agouasaque	3.131000	0.000000
agra	151.837000	0.000000
agramunt	15.917000	0.016000
agreda	16.300000	0.008000
agror	4.811000	0.006000
agsu	17.508000	0.026000
aguacadiba	1.345000	0.000000
aguacana	29.335000	0.018000
aguacay	1.881000	0.015000
aguanish	0.106000	0.000000
aguasabon	0.106000	0.000000
aguere	7.077000	0.000000
aguiar	17.487000	0.008000
aguilar_de_campoo	20.673000	0.205000
agula	5.562000	0.008000
agulhas	0.020000	0.000000
aguyaq	0.210000	0.000000
aguz	13.594000	0.045000
agvituk	0.106000	0.000000
agw_aneq	0.210000	0.000000
agwarmin	0.494000	0.000000
aha_macav	0.252000	0.000000
ahar	8.205000	0.003000
ahaus	43.825000	0.006000
ahe	1.506000	0.000000
ahel	3.354000	0.007000
aheri	216.444000	0.039000
aheyya_fagg	17.834000	0.008000
ahkwesasne	0.850000	0.000000
ahkwesasne_ny	0.982000	0.000000
ahlat	5.765000	0.008000
ahmad_khan	71.858000	0.066000
ahmednagar	156.967000	16.137000
ahna_wate	0.420000	0.000000
ahobalam	72.983000	0.008000
ahome	7.760000	0.000000
ahouenro	0.701000	0.000000
ahrweiler	15.960000	0.004000
ahsenisiipi	1.598000	0.016000
ahtopol	11.194000	0.011000
ahuacatlan	2.817000	0.046000
ahuilizapan	17.206000	0.018000
ahurei	2.236000	0.000000
ahuya_yari	0.837000	0.000000
ahvaz	8.125000	0.008000
ahwar	9.312000	0.017000
ahwendoe	0.531000	0.000000
ai_ais	0.049000	0.000000
aichi	62.211000	0.010000
aignay	36.222000	0.000000
aigun	6.797000	0.004000
aikana	1.327000	0.000000
aikhal	0.157000	0.000000
aikou	41.309000	0.030000
ailinglaplap_atoll	0.668000	0.000000
aillik	0.106000	0.000000
ailuk_atoll	0.190000	0.000000
aim_maia	0.157000	0.000000
aim_mocoylek	2.973000	0.000000
aimangala	61.066000	0.000000
aimchan	0.157000	0.000000
aimi	15.328000	0.005000
aimore	3.786000	0.000000
ain_farah	10.854000	0.007000
ain_galaka	7.949000	0.000000
ain_madhi	11.002000	0.000000
ain_salah	17.694000	0.000000
ain_sefra	17.996000	0.034000
ainsa	7.790000	0.008000
ainu_nik	0.318000	0.000000
air_hitam	1.262000	0.007000
airag_nuur	7.189000	0.004000
aire	18.336000	0.000000
ais	0.561000	0.000000
ait_benhaddou	5.501000	0.000000
ait_daoud	12.326000	0.000000
aita	17.465000	0.005000
aitbulat	1.654000	0.000000
aitutaki_atoll	0.565000	0.000000
aiud	23.875000	0.009000
aivitok	0.106000	0.000000
aiwanj	14.807000	0.001000
aix_en_provence	61.500000	2.096000
aixe	30.644000	0.000000
aizkraukle	3.333000	0.000000
ajaccio	10.014000	0.000000
ajanas	1.045000	0.000000
ajara	70.618000	0.000000
ajase	32.257000	0.000000
ajawewesitagun	0.318000	0.000000
ajayameru	38.836000	0.028000
ajdabiya	12.926000	0.009000
ajehuac_yana	0.280000	0.000000
ajie	1.630000	0.000000
ajim	3.959000	0.008000
ajmer	142.081000	0.000000
aju	24.198000	0.014000
ajuchitlan	20.243000	0.048000
aka	41.977000	0.010000
akamba	0.700000	0.000000
akan_loc	0.241000	0.000000
akana	0.120000	0.000000
akaray	4.032000	0.000000
akaroa	0.482000	0.000000
akashi	25.039000	0.005000
akbarpur	161.546000	0.000000
akcasehir	35.730000	0.005000
akdagmadeni	7.870000	0.004000
akei	0.829000	0.000000
akhalkalaki	30.076000	0.006000
akhaltsikhe	11.560000	0.006000
akhisar	11.345000	0.000000
akhmim	80.746000	0.009000
akhsikath	39.468000	0.001000
akhsisek	18.789000	0.001000
akhtar	5.312000	0.006000
aki	49.061000	0.010000
aki_shikoku	24.778000	0.005000
akilasiewakik	0.106000	0.000000
akilonda	7.533000	0.000000
akimel_oodham	0.806000	0.043000
akimiski	0.212000	0.000000
akinka_nup	0.318000	0.000000
akinkumasnuqit	0.318000	0.000000
akishma	1.471000	0.004000
akisq_nuk	0.318000	0.000000
akita	27.234000	0.015000
akita_kumamoto	24.838000	0.005000
akjoujt	3.906000	0.000000
akkajaur	0.292000	0.000000
akkala	0.250000	0.000000
akkesene	1.031000	0.000000
akkeshi	0.227000	0.000000
akkol	0.661000	0.000000
akkus	21.884000	0.009000
aklan	6.399000	0.026000
aklaviq	0.106000	0.000000
aklera	74.851000	0.000000
aknuq_uk	0.318000	0.000000
akokpaq	0.210000	0.000000
akola	107.286000	0.000000
akonolinga	2.893000	0.000000
akora	73.325000	0.000000
akou	77.477000	0.015000
akre	8.766000	0.012000
akropong	15.805000	0.016000
aksaray	18.072000	0.001000
aksay	5.904000	0.000000
aksay_pointic	3.395000	0.000000
aksehir	3.341000	0.005000
aksu	26.896000	4.924000
aksumbe	1.594000	0.000000
aktas_kystagy	1.852000	0.001000
akto	3.262000	0.008000
akure	31.483000	0.000000
akureyri	1.016000	0.009000
akuugun	0.140000	0.000000
akwaala	1.139000	0.000000
akwatia	26.949000	0.000000
akwe	1.949000	0.000000
akwen	11.854000	0.000000
akyab	56.779000	0.004000
akyazi	35.609000	0.005000
al_abala	7.597000	0.000000
al_abwa	7.021000	0.042000
