tag	chinese_name
aabenraa	奥本罗
aachen	亚琛
aaku	阿库
aalborg	奥尔堡
aalst	阿尔斯特
aarau	阿劳
aarhus	奥胡斯
aba_al_qur	阿巴阿尔库尔
abadan	阿巴丹
abadeh	阿巴德
abadeh_tashk	阿巴德塔什克
abagaita	阿巴盖塔
abakasnk	阿巴卡斯克
abala	阿巴拉
abarkuh	阿巴尔库赫
abbeville	阿布维尔
abdanan	阿卜达南
abdas	阿布达斯
abdulino	阿布杜利诺
abe	阿部
aberdeen	阿伯丁
aberfeldy	阿伯费尔迪
aberystwyth	阿伯里斯特威斯
abesehir	阿贝谢希尔
abha	阿卜哈
abhar	阿巴尔
abil	阿比尔
abingdon	阿宾顿
abiward	阿比瓦德
abiy_addi	阿比阿迪
abiz	阿比兹
abo	阿博
abrahamtelke	亚伯拉罕泰勒克
abu	阿布
abu_dhabi	阿布扎比
abu_hamed	阿布哈迈德
abu_kemal	阿布凯马勒
abu_qasr	阿布卡斯尔
abu_rakah	阿布拉卡
acatic	阿卡蒂克
acayucan	阿卡尤坎
acerenza	阿切伦扎
achacachi	阿查卡奇
acham	阿查姆
achan	阿昌
achim	阿希姆
achit_nuur	阿奇特淖尔
acqui	阿克维
acre	阿卡
adachi	足立
adachi_kanto	足立关东
adakli	阿达克勒
adalaga	阿达拉加
adan	阿丹
adana	阿达纳
adanki	阿丹基
adare	阿代尔
ad_dawasir	达瓦西尔
ad_dilam	迪拉姆
ad_disah	迪萨
addu_atoll	阿杜环礁
ad_dughmiyah	杜格米耶
adeqiu	阿德丘
adham	阿德汉
adigrat	阿迪格拉特
adilabad	阿迪拉巴德
adjud	阿久德
adlur	阿德勒
ado_ekiti	阿多埃基蒂
adoni	阿多尼
adony	阿多尼
adra	阿德拉
adrada	阿德拉达
adranos	阿德拉诺斯
adrar	阿德拉尔
adraskan	阿德拉斯坎
adwa	阿德瓦
adyukh	阿久赫
aerzhai	阿尔寨
afanasyevo	阿法纳西耶沃
afif	阿菲夫
afmadow	阿夫马多
afrera	阿弗雷拉
afrin	阿夫林
afsin	阿夫辛
afso	阿夫索
aga	阿加
agadem	阿加德姆
agadir	阿加迪尔
agar	阿加尔
agaro	阿加罗
agartala	阿加尔塔拉
agatsuma	吾妻
agawa	阿加瓦
agbonle	阿格博内
agde	阿格德
agdez	阿格德兹
agen	阿让
agham_kot	阿加姆科特
aghkand	阿格坎德
aghmat	阿格马特
agh_qala	阿格卡拉
agnam_civol	阿尼亚姆西沃尔
agno	阿尼奥
agoo	阿古
agordat	阿戈尔达特
agori	阿戈里
agra	阿格拉
agramunt	阿格拉蒙特
agreda	阿格雷达
agror	阿格罗尔
agsu	阿格苏
aguacana	阿瓜卡纳
aguiar	阿吉亚尔
aguilar_de_campoo	阿吉拉尔德坎波奥
agula	阿古拉
aguz	阿古兹
ahar	阿哈尔
ahaus	阿豪斯
ahel	阿赫尔
aheri	阿赫里
aheyya_fagg	阿赫亚法格
ahlat	阿赫拉特
ahmad_khan	艾哈迈德汗
ahmednagar	艾哈迈德纳加尔
ahobalam	阿霍巴拉姆
ahrweiler	阿尔韦勒
ahtopol	阿赫托波尔
ahuacatlan	阿瓦卡特兰
ahuilizapan	阿瓦利萨潘
ahvaz	阿瓦士
ahwar	阿赫瓦尔
aichi	爱知
aignay	艾涅
aigun	爱珲
aikou	爱甲
aimangala	艾曼加拉
aimi	爱美
ain_farah	艾因法拉赫
ain_madhi	艾因马迪
ainsa	艾因萨
ain_salah	艾因萨拉赫
ain_sefra	艾因塞夫拉
airag_nuur	艾拉格淖尔
aire	艾尔
air_hitam	艾尔希塔姆
aita	艾塔
ait_benhaddou	艾特本哈杜
aitbulat	艾特布拉特
ait_daoud	艾特达乌德
aiud	艾乌德
aiwanj	艾万吉
aixe	艾克斯
aix_en_provence	普罗旺斯地区艾克斯
aizkraukle	艾兹克劳克勒
ajaccio	阿雅克肖
ajara	阿贾拉
ajayameru	阿贾耶梅鲁
ajdabiya	阿季达比耶
ajim	阿吉姆
ajmer	阿杰梅尔
aju	阿朱
ajuchitlan	阿胡奇特兰
aka	阿卡
akashi	明石
akbarpur	阿克巴尔普尔
akcasehir	阿克谢希尔
akdagmadeni	阿克达马德尼
akhalkalaki	阿哈尔卡拉基
akhaltsikhe	阿哈尔齐赫
akhisar	阿克希萨尔
akhmim	阿赫米姆
akhsikath	阿赫西卡特
akhsisek	阿赫西塞克
akhtar	阿赫塔尔
aki	安芸
aki_shikoku	安芸四国
akishma	阿基什马
akita	秋田
akita_kumamoto	秋田熊本
akkesene	阿克凯塞内
akkol	阿科尔
akkus	阿库斯
aklan	阿克兰
aklera	阿克莱拉
akola	阿科拉
akora	阿科拉
akou	阿库
akre	阿克雷
aksaray	阿克萨赖
aksay	阿克赛
aksay_pointic	阿克赛波因蒂克
aksehir	阿克谢希尔
aksu	阿克苏
aksumbe	阿克松贝
aktas_kystagy	阿克塔斯库斯塔吉
akto	阿克托
akure	阿库雷
akureyri	阿库雷里
akyab	实兑
akyazi	阿库亚兹
al_abala	阿巴拉
al_abwa	阿布瓦
al_aflaj	阿夫拉吉
al_ahmar	艾哈迈尔
al_ahsa	哈萨
al_ais	艾斯
alaiye	阿拉伊耶
al_ajfar	阿杰法尔
alakol	阿拉科尔
alamarvdasht	阿拉马尔夫达什特
alamganj	阿拉姆甘杰
al_amlah	阿姆拉
al_amwah	阿姆瓦
al_anbar	安巴尔
al_arah	阿拉赫
alarcon	阿尔孔
alasehir	阿拉谢希尔
alashakhan	阿拉沙汗
alat	阿拉特
alatyr	阿拉特里
alaverdi	阿拉韦尔迪
al_ayn	艾因
al_ayn_khaybar	艾因海巴尔
alays	阿莱斯
al_aythamah	艾萨迈
al_azlam	阿兹拉姆
alba	阿尔巴
al_bab	巴卜
albacete	阿尔瓦塞特
al_bad	巴德
alba_de_aliste	阿尔巴德阿利斯特
alba_de_tormes	阿尔巴德托尔梅斯
al_baharah	巴哈拉
alba_iulia	阿尔巴尤利亚
albarracin	阿尔瓦拉辛
al_bayda	拜达
al_bayda_yemen	也门拜达
albenga	阿尔本加
albi	阿尔比
al_bidda	比达
al_bijadiyah	比贾迪耶
al_bleiteh	布莱泰
albo	阿尔博
albreda	阿尔布雷达
albuquerque	阿尔伯克基
al_burud	布鲁德
alcacer_do_sal	阿尔卡塞尔杜萨尔
alcala_de_henares	阿尔卡拉德埃纳雷斯
alcanices	阿尔卡尼塞斯
alcaniz	阿尔卡尼斯
alcantara	阿尔坎塔拉
alcaraz	阿尔卡拉斯
alcazar_de_san_juan	阿尔卡萨尔德圣胡安
alchan	阿尔汗
alcobaca	阿尔科巴萨
alcoy	阿尔科伊
al_dhaid	扎伊德
alencon	阿朗松
aleppo	阿勒颇
aleria	阿莱里亚
ales	阿莱斯
aleshtar	阿莱什塔尔
alessandria	亚历山德里亚
alexandria	亚历山大
alexandrov_gay	亚历山德罗夫盖
alexandrovskaya_sloboda	亚历山德罗夫斯卡亚斯洛博达
alexandrovskoye	亚历山德罗夫斯科耶
alexeyevka	阿列克谢耶夫卡
alexeyevskaya	阿列克谢耶夫斯卡亚
alfambra	阿尔法姆布拉
al_farah_ula	法拉赫乌拉
alfeld	阿尔费尔德
alferovskaya	阿列费罗夫斯卡亚
alfta	阿尔夫塔
al_fuqarah	富卡拉
al_furaish	富拉伊什
algeciras	阿尔赫西拉斯
al_ghat	加特
al_ghazalah	加扎拉
alghero	阿尔盖罗
al_ghrabah	格拉巴
al_ghulayfiqah	古莱菲卡
algiers	阿尔及尔
al_haddar	哈达尔
al_hadhah	哈达
al_hajr	哈杰尔
al_hamad	哈马德
alhambra_location	阿尔罕布拉
al_haqu	哈库
al_harjah	哈尔贾
al_harrah	哈拉
al_hawra	哈乌拉
al_hegrieah	赫格里耶
al_hinakiyah	希纳基耶
al_hirda	希尔达
al_hisu	希苏
al_hufayr	胡费尔
al_hufayrah	胡费拉
al_hunayy	胡奈
al_husayniyah	侯赛尼耶
al_huwaila	胡韦拉
al_huwayyit	胡韦特
aliabad_katul	阿里阿巴德卡图尔
alicante	阿利坎特
aligurdaz	阿里古尔达兹
alikovo	阿利科沃
alirajpur	阿利拉杰普尔
ali_sabieh	阿里萨比赫
alishang	阿里尚格
al_jar	贾尔
al_jawf	焦夫
al_jeblien	杰布利恩
al_jubayl	朱拜勒
al_juhfah	朱赫法
al_jumum	朱穆姆
al_kadwa	卡德瓦
alkalawa	阿尔卡拉瓦
al_kamil_wal_wafi	卡米勒瓦勒瓦菲
al_khaburah	哈布腊
al_khadra_ALG	Al Khadra Alg
al_khanbarah	汗巴拉
alkhan_kala	阿尔汗卡拉
al_kharabah	哈拉巴
al_khosuf	霍苏夫
al_khuimat	胡韦马特
al_khums	胡姆斯
al_khuraybah	胡赖巴
alkmaar	阿尔克马尔
al_labbah	拉巴
al_laghfiyyah	拉格菲耶
allegre	阿莱格雷
allingsas	阿林瑟斯
al_lith	利斯
allpas	阿尔帕斯
al_luhayyah	卢海耶
alluyes	阿卢耶
al_madar	马达尔
al_maddah	马达
almaden	阿尔马登
al_mafalis	马法利斯
al_maghib	马吉布
al_mahani	马哈尼
al_mahjal	马赫贾勒
al_majazah	马贾扎
al_majmaah	马杰马阿
almalik_chach	阿尔马利克恰奇
almaliq	阿尔马利克
al_mamtir	马姆蒂尔
al_mandab	曼达布
al_manjur	曼朱尔
almanzora	阿尔曼索拉
al_maramiyah	马拉米耶
al_mardamah	马尔达马
al_marwa	马尔瓦
al_mashqar	马什卡尔
al_maslum	马斯卢姆
al_matamma	马塔马
almaty	阿拉木图
al_mazamma	马扎马
almazan	阿尔马桑
almenevo	阿尔梅涅沃
almeria	阿尔梅里亚
almetyevsk	阿尔梅季耶夫斯克
al_mima	米马
al_mithnab	米特纳布
almodovar_del_campo	坎波德尔蒙多瓦尔
almonaster_la_real	阿尔莫纳斯特拉雷亚尔
almora	阿尔莫拉
al_muazzam	穆阿扎姆
almudevar	阿尔穆德瓦尔
al_mukalla	穆卡拉
al_mukha	穆哈
al_mundassah	蒙达萨
almunecar	阿尔穆涅卡尔
al_muthainiyah	穆赛尼耶
al_muwaylih	穆韦利赫
alnwick	安尼克
al_qaiyah	盖耶
al_qara	卡拉
al_qatif	卡提夫
al_qatr	卡塔尔
al_qunfudhah	昆富达
al_quway	库韦
al_quwayrah	库韦拉
alsfeld	阿尔斯费尔德
al_shihr	希尔
al_shuqayq	舒凯格
al_sinn	辛恩
al_sirrayn	西拉恩
alstahaug	阿尔斯塔豪格
al_suman	苏曼
alta	阿尔塔
altafjord	阿尔塔峡湾
altamura	阿尔塔穆拉
altan_gadas	阿尔坦加达斯
altayn_ovor_gobi	阿尔泰南戈壁
altayskoye	阿尔泰斯科耶
altdorf	阿尔特多夫
altena	阿尔滕纳
altenburg	阿尔滕堡
altenkirchen	阿尔滕基兴
al_thamad	萨马德
al_thulayma	苏莱马
al_tib	提布
altinekin	阿尔蒂内金
altintas	阿尔廷塔什
altit	阿尔蒂特
al_tiz	提兹
altun_kupri	阿尔通库普里
altyntobe	阿尔滕托别
altyshevo	阿尔特舍沃
al_udayb	乌代卜
al_udayd	乌代德
al_udhaim	乌代姆
al_ukhaydir	乌海迪尔
aluksne	阿卢克斯内
al_ula	乌拉
alula	阿卢拉
al_uqayr	乌盖尔
al_uyayna	乌耶纳
alvalade	阿尔瓦拉德
alvastra	阿尔瓦斯特拉
alvdal	阿尔夫达尔
alvito	阿尔维托
al_wajh	瓦季赫
al_waqbi	瓦格比
alwar	阿尔瓦尔
alxa	阿拉善
al_yamamah	亚玛玛
alyanbulag	阿连布拉格
alytus	阿利图斯
amabe	天部
amadiya	阿马迪亚
amaigbo	阿迈格博
amakusa	天草
amal	阿马尔
amaravati	阿马拉瓦蒂
amarbayas_galang	阿玛尔巴雅斯嘎朗
amarendrapura	阿玛伦德拉普拉
amarkantak	阿马尔坎塔克
amasra	阿马斯拉
amassing	阿马辛
amasya	阿马西亚
amaticoztitlan	阿马蒂科斯特特兰
amaxacotlan	阿马克索科特兰
amazar	阿马扎尔
ambagarh	安巴加尔
ambat	安巴特
amberd	安贝尔德
amberg	安贝格
amber_loc	安伯
ambikapur	安比卡普尔
amboise	昂布瓦斯
ambovontany	安博翁塔尼
ambuila	安布伊拉
amchok	阿姆乔克
am_dam	阿姆达姆
amdoukal	阿姆杜卡尔
ameca	阿梅卡
amergo	阿梅尔戈
amersfoort	阿默斯福特
amesbury	埃姆斯伯里
ameskour	阿梅斯库尔
amet	阿梅特
amgun	阿姆贡
ami	阿米
amiens	亚眠
amli	阿姆利
amman	安曼
amnye_machen	阿尼玛卿
amol	阿莫勒
amollan	阿莫兰
amoltepec	阿莫尔特佩克
amol_turkmenabad	阿莫勒土库曼纳巴德
amonokoa	阿莫诺科阿
amora_gadal	阿莫拉加达尔
amorgos	阿莫尔戈斯
amot	阿莫特
amrabad	阿姆拉巴德
amravati	阿姆拉瓦蒂
amreli	阿姆雷利
amsterdam	阿姆斯特丹
amstetten	阿姆施泰滕
amud	阿穆德
amulaca	阿穆拉卡
amurang	阿穆朗
amyint	阿米因特
anaa	阿纳阿
anacopia	阿纳科皮亚
anagni	阿纳尼
anah	阿纳
anak	阿纳克
anaklia	阿纳克利亚
anambas_islands	安纳巴斯群岛
anamur	阿纳穆尔
anana	阿纳纳
ananiv	阿纳尼夫
anantapur	阿南塔布尔
anar	阿纳尔
anarak	阿纳拉克
anardara	阿纳达拉
anavarza	阿纳瓦尔扎
anbang	安邦
anbian	安边
anchau	安 Chau
anchun	安 Chun
ancona	安科纳
andar	安达
andarab	安达拉布
ande	安德
andechs	安德希斯
andijan	安集延
andika	安迪卡
andimeshk	安迪梅什克
anding	安定
anding_mashan	安定马山
anding_suzhou	安定肃州
andkhoy	安德霍伊
andolo	安多洛
andomsky_pogost	安多姆斯基波戈斯特
andong	安东
andong_huaian	安东淮安
andorra_la_vella	安道尔城
andravida	安德拉维达
andreapol	安德烈阿波尔
andria	安德里亚
andritsaina	安德里齐纳
andros	安德罗斯
andujar	安杜哈尔
anegandi	阿内甘迪
anew	阿纽
anfa	安法
anfu_jian	安福建
anfu_li	安福里
angadippuram	安加迪普拉姆
angamacutiro	安加马库蒂罗
angelokastron	安格洛卡斯特龙
angermunde	安格明德
angers	昂热
angkor	吴哥
angkor_borei	吴哥波雷
angkor_knong	吴哥农
anglesey	安格尔西
angoche	安戈谢
angouleme	昂古莱姆
angul	安古尔
anhialo	安希阿洛
anhua	安化
anhua_anhua	安化安化
anhua_huanjiang	安化环江
ani	阿尼
anji	安吉
anju_nurgan	安住奴尔干
anka	安卡
ankara	安卡拉
anklam	安克拉姆
ankober	安科贝尔
anlong	安龙
anlu	安陆
ann	安
annaba	安纳巴
an_nabhaniyah	纳卜哈尼耶
annaburg	安娜堡
an_nakhil	纳赫勒
annan	安南
anna_russia	安娜俄罗斯
an_nasifah	纳西法
annecy	阿讷西
an_nibaj	尼巴杰
an_nil	尼罗河
anning	安宁
an_nuhaytiyyah	努海提耶
an_nuqrah	努格拉
anping	安平
anqiu	安丘
anren	安仁
anren_raozhou	安仁饶州
ansai	安塞
ansbach	安斯巴赫
anseba	安塞巴
anso	安索
ansongo	安松戈
ansu	安苏
antalo	安塔洛
antalya	安塔利亚
antequera	安特克拉
antioch	安条克
antsohihy	安措希希
antwerp	安特卫普
anumagallu	阿努马加卢
anundsjo	阿农兹约
anupgarh	阿努普加尔
anuradhapura	阿努拉德普勒
anxi	安溪
anxiang	安乡
anxi_dingzhou	安西定州
anyang	安阳
anyi	安义
anyksciai	阿尼克什恰伊
anyuan	安远
anyuan_dingnan	安远定南
anyuan_lianzhou	安远连州
anyue	安岳
anzhou	安州
aosta	奥斯塔
aoudaghost	奥达戈斯特
aouint_yghomane	奥温特伊戈曼
apan	阿潘
apatzingan	阿帕钦甘
apeldoorn	阿珀尔多伦
api_api	阿皮阿皮
apolda	阿波尔达
appingedam	阿平厄丹
appleby	阿普尔比
apt	阿普特
apui	阿普伊
apurlec	阿普尔莱克
aqaba	亚喀巴
aqca	阿克恰
aqda	阿克达
aqiq_banu_uqayi	阿基克巴努乌卡伊
aqmecit	阿克梅切特
aqmecit_prybuzhzhya	阿克梅切特普里布日贾
aquila	阿奎拉
aquileia	阿奎莱亚
araban	阿拉班
arabi	阿拉比
arac	阿拉克
aracena	阿拉塞纳
arad	阿拉德
arak	阿拉克
aranda_de_duero	阿兰达杜埃罗
araouane	阿拉万
arapgir	阿拉普吉尔
arar	阿拉尔
araska	阿拉斯卡
araut	阿劳特
arbaji	阿尔巴吉
arboga	阿尔博加
arbroath	阿布罗斯
archar	阿尔查尔
arches	阿什
arcos_de_la_frontera	阿科斯德拉弗龙特拉
arcot	阿尔科特
ardabil	阿尔达比勒
ardagh	阿尔达
ardahan	阿尔达汉
ardakan	阿尔达坎
ardatov	阿尔达托夫
ardestan	阿尔代斯坦
ardtornish	阿德托尼什
ares_del_maestre	阿雷斯德尔马埃斯特雷
aresh	阿雷什
arevalo	阿雷瓦洛
arezzo	阿雷佐
argamakli_sarai	阿尔加马克利萨莱
argenta	阿真塔
argentan	阿尔让唐
arges	阿尔杰什
arghestan	阿尔格斯坦
argi	阿尔吉
argos	阿尔戈斯
argun	阿尔贡
arguvan	阿尔古万
argyrokastro	吉诺卡斯特
ariano	阿里亚诺
aribinda	阿里宾达
arilje	阿里耶
ariza	阿里萨
arkadak	阿尔卡达克
arkat	阿尔卡特
arkhan	阿尔汗
arkhangelsk	阿尔汉格尔斯克
arkhangelskoye	阿尔汉格尔斯科耶
arkhangelskoye_vologda	阿尔汉格尔斯科耶沃洛格达
arkhara	阿尔哈拉
arkhyz	阿尔赫兹
arkvaz	阿尔克瓦兹
arlal	阿尔拉尔
arles	阿尔勒
arlon	阿尔隆
armagh	阿马
armavir	阿尔马维尔
armizonskoye	阿尔米宗斯科耶
arnay	阿尔奈
arnedo	阿内多
arnhem	阿纳姆
arnsberg	阿恩斯贝格
arnstadt	阿恩施塔特
aroche	阿罗切
arona	阿罗纳
aror	阿罗尔
arque	阿尔克
arques	阿克斯
ar_rabadha	拉巴达
ar_rabb	拉布
arrah	阿拉
arran	阿兰
arras	阿拉斯
ar_rass	拉斯
ar_rawdah	拉乌达
arrayda	阿赖达
ar_rayn	拉因
ar_rayyan	拉扬
arroyo	阿罗约
ar_rukai	拉凯
ar_ruwailiyyah	鲁韦利耶
ars	阿尔斯
arshgul	阿尔什古尔
arslanbob	阿尔斯兰博布
arsubaniket	阿尔苏巴尼凯特
arsuz	阿尔苏兹
arta	阿尔塔
artah	阿尔塔
artanuji	阿尔塔努吉
artashavan	阿尔塔沙万
artush	阿图什
artyk_ata	阿尔特克阿塔
arun	阿伦
aruni	阿鲁尼
aruppukkottai	阿鲁普科泰
aryaru	阿亚鲁
arykbalyk	阿雷克巴雷克
arzamas	阿尔扎马斯
arzew	阿尔泽
arzgir	阿尔兹吉尔
arzu	阿尔祖
asa	阿萨
asadabad	阿萨达巴德
asadabad_kunar	阿萨达巴德库纳尔
asahan	阿萨汉
asaita	阿赛塔
asaka	朝香
asakuchi	浅口
asakura	朝仓
